angleSpeedx_y_z;lineAccx_y_z
0.00,0.03,0.03,-0.02,-0.09,9.82
0.00,0.03,0.03,-0.01,-0.08,9.82
-0.01,-0.03,0.05,-0.02,-0.08,9.82
-0.01,-0.03,0.05,-0.02,-0.09,9.81
-0.02,-0.02,0.05,-0.02,-0.10,9.81
-0.02,-0.01,0.04,-0.01,-0.09,9.81
-0.01,-0.01,0.07,-0.01,-0.10,9.80
-0.00,-0.01,0.08,-0.03,-0.10,9.80
0.00,-0.01,0.09,-0.03,-0.10,9.80
-0.01,-0.01,0.06,-0.02,-0.10,9.79
-0.00,-0.02,0.06,-0.03,-0.09,9.79
-0.01,-0.00,0.05,-0.03,-0.09,9.79
-0.00,-0.01,0.06,-0.04,-0.10,9.79
0.01,-0.04,0.05,-0.04,-0.10,9.79
0.02,-0.01,0.05,-0.04,-0.09,9.80
-0.00,0.02,0.05,-0.04,-0.10,9.80
-0.02,0.00,0.03,-0.03,-0.10,9.81
-0.01,-0.00,0.04,-0.03,-0.11,9.81
0.00,-0.02,0.03,-0.02,-0.11,9.81
-0.01,-0.00,0.04,-0.01,-0.11,9.82
-0.02,-0.01,0.06,-0.02,-0.11,9.82
-0.01,-0.02,0.05,-0.02,-0.12,9.82
0.02,-0.01,0.03,-0.00,-0.12,9.82
0.02,0.01,0.03,-0.00,-0.11,9.82
0.03,0.01,0.05,-0.01,-0.11,9.81
0.05,0.01,0.06,-0.01,-0.10,9.80
0.05,0.00,0.07,-0.01,-0.09,9.81
0.02,-0.01,0.06,-0.02,-0.10,9.82
-0.04,0.01,0.04,-0.01,-0.13,9.83
-0.01,0.01,0.05,-0.02,-0.15,9.81
0.12,0.02,0.09,-0.02,-0.09,9.81
0.01,0.01,0.07,-0.00,-0.06,9.84
-0.10,0.03,0.06,-0.02,-0.08,9.82
-0.13,0.02,0.07,-0.04,-0.13,9.79
0.07,-0.00,0.06,-0.03,-0.12,9.78
0.08,0.02,0.07,-0.03,-0.06,9.78
0.00,0.03,0.06,-0.05,-0.02,9.79
-0.11,0.00,0.05,-0.06,-0.05,9.80
-0.02,-0.04,0.03,-0.04,-0.15,9.76
0.11,0.00,0.02,-0.03,-0.12,9.77
0.14,0.03,0.03,-0.05,-0.05,9.80
0.04,0.01,0.03,-0.07,-0.01,9.84
-0.06,-0.07,0.03,-0.06,-0.09,9.81
0.03,-0.08,0.02,-0.03,-0.13,9.78
0.10,-0.05,0.02,-0.00,-0.12,9.80
0.16,-0.02,0.03,-0.03,-0.05,9.82
-0.06,-0.01,-0.02,-0.05,-0.01,9.89
-0.14,-0.09,-0.00,-0.02,-0.05,9.87
-0.11,-0.09,0.01,0.01,-0.12,9.82
-0.03,-0.04,0.03,0.02,-0.14,9.78
