  longitude ,  latitude ,high;roll,yaw,pitch;n_vel,e_vel,u_vel;angleSpeedx_y_z;lineAccx_y_z;speed,steeringAngle
118.81099150,31.89293530,8.98;0.77,265.43,0.03;-0.28,-3.69,0.04;-0.12,0.08,0.15;-0.03,1.14,9.92;3.58,0.00
118.81099150,31.89293530,8.98;0.77,265.43,0.03;-0.28,-3.69,0.04;-0.12,0.08,0.15;-0.03,1.14,9.92;3.59,-0.10
118.81099150,31.89293530,8.98;0.77,265.43,0.03;-0.28,-3.69,0.04;-0.12,0.08,0.15;-0.03,1.14,9.92;3.88,-0.20
118.81099150,31.89293530,8.98;0.77,265.43,0.03;-0.28,-3.69,0.04;-0.12,0.08,0.15;-0.03,1.14,9.92;3.91,-0.20
118.81099150,31.89293530,8.98;0.77,265.43,0.03;-0.28,-3.69,0.04;-0.12,0.08,0.15;-0.03,1.14,9.92;3.92,-0.30
118.81099150,31.89293530,8.98;0.77,265.43,0.03;-0.28,-3.69,0.04;-0.12,0.08,0.15;-0.03,1.14,9.92;3.95,-0.30
118.81099150,31.89293530,8.98;0.77,265.43,0.03;-0.28,-3.69,0.04;-0.12,0.08,0.15;-0.03,1.14,9.92;3.97,-0.30
118.81099150,31.89293530,8.98;0.77,265.43,0.03;-0.28,-3.69,0.04;-0.12,0.08,0.15;-0.03,1.14,9.92;3.99,-0.30
118.81099150,31.89293530,8.98;0.77,265.43,0.03;-0.28,-3.69,0.04;-0.12,0.08,0.15;-0.03,1.14,9.92;3.99,-0.30
118.81099150,31.89293530,8.98;0.77,265.43,0.03;-0.28,-3.69,0.04;-0.12,0.08,0.15;-0.03,1.14,9.92;4.25,0.00
118.81099150,31.89293530,8.98;0.77,265.43,0.03;-0.28,-3.69,0.04;-0.12,0.08,0.15;-0.03,1.14,9.92;4.28,0.00
118.81099150,31.89293530,8.98;0.77,265.43,0.03;-0.28,-3.69,0.04;-0.12,0.08,0.15;-0.03,1.14,9.92;4.30,0.00
118.81099150,31.89293530,8.98;0.77,265.43,0.03;-0.28,-3.69,0.04;-0.12,0.08,0.15;-0.03,1.14,9.92;4.31,0.00
118.81099150,31.89293530,8.98;0.77,265.43,0.03;-0.28,-3.69,0.04;-0.12,0.08,0.15;-0.03,1.14,9.92;4.33,0.00
118.81096164,31.89293333,9.01;0.73,265.34,0.14;-0.34,-4.38,0.09;-0.12,0.08,0.15;-0.03,1.14,9.92;4.36,0.00
118.81096164,31.89293333,9.01;0.73,265.34,0.14;-0.34,-4.38,0.09;-0.41,-0.55,0.21;0.02,0.89,9.27;4.38,0.00
118.81096164,31.89293333,9.01;0.73,265.34,0.14;-0.34,-4.38,0.09;-0.41,-0.55,0.21;0.02,0.89,9.27;4.61,0.00
118.81096164,31.89293333,9.01;0.73,265.34,0.14;-0.34,-4.38,0.09;-0.41,-0.55,0.21;0.02,0.89,9.27;4.62,0.00
118.81096164,31.89293333,9.01;0.73,265.34,0.14;-0.34,-4.38,0.09;-0.41,-0.55,0.21;0.02,0.89,9.27;4.64,0.00
118.81096164,31.89293333,9.01;0.73,265.34,0.14;-0.34,-4.38,0.09;-0.41,-0.55,0.21;0.02,0.89,9.27;4.67,0.00
118.81096164,31.89293333,9.01;0.73,265.34,0.14;-0.34,-4.38,0.09;-0.41,-0.55,0.21;0.02,0.89,9.27;4.67,0.00
118.81096164,31.89293333,9.01;0.73,265.34,0.14;-0.34,-4.38,0.09;-0.41,-0.55,0.21;0.02,0.89,9.27;4.69,0.00
118.81096164,31.89293333,9.01;0.73,265.34,0.14;-0.34,-4.38,0.09;-0.41,-0.55,0.21;0.02,0.89,9.27;4.70,0.00
118.81096164,31.89293333,9.01;0.73,265.34,0.14;-0.34,-4.38,0.09;-0.41,-0.55,0.21;0.02,0.89,9.27;4.70,0.00
