  longitude ,  latitude ,high;roll,yaw,pitch;n_vel,e_vel,u_vel;angleSpeedx_y_z;lineAccx_y_z;speed,steeringAngle
118.81109687,31.89294061,9.10;0.49,267.23,-0.02;-0.12,-3.36,0.02;0.25,0.18,-2.65;0.09,1.13,9.75;3.34,-34.40
118.81109687,31.89294061,9.10;0.49,267.23,-0.02;-0.12,-3.36,0.02;0.25,0.18,-2.65;0.09,1.13,9.75;3.37,-34.00
118.81109687,31.89294061,9.10;0.49,267.23,-0.02;-0.12,-3.36,0.02;0.25,0.18,-2.65;0.09,1.13,9.75;3.39,-33.60
118.81109687,31.89294061,9.10;0.49,267.23,-0.02;-0.12,-3.36,0.02;0.25,0.18,-2.65;0.09,1.13,9.75;3.66,-24.10
118.81109687,31.89294061,9.10;0.49,267.23,-0.02;-0.12,-3.36,0.02;0.25,0.18,-2.65;0.09,1.13,9.75;3.66,-23.50
118.81109687,31.89294061,9.10;0.49,267.23,-0.02;-0.12,-3.36,0.02;0.25,0.18,-2.65;0.09,1.13,9.75;3.68,-21.90
118.81109687,31.89294061,9.10;0.49,267.23,-0.02;-0.12,-3.36,0.02;0.25,0.18,-2.65;0.09,1.13,9.75;3.70,-20.20
118.81109687,31.89294061,9.10;0.49,267.23,-0.02;-0.12,-3.36,0.02;0.25,0.18,-2.65;0.09,1.13,9.75;3.72,-19.40
118.81109687,31.89294061,9.10;0.49,267.23,-0.02;-0.12,-3.36,0.02;0.25,0.18,-2.65;0.09,1.13,9.75;3.74,-17.40
118.81109687,31.89294061,9.10;0.49,267.23,-0.02;-0.12,-3.36,0.02;0.25,0.18,-2.65;0.09,1.13,9.75;3.76,-15.30
118.81109687,31.89294061,9.10;0.49,267.23,-0.02;-0.12,-3.36,0.02;0.25,0.18,-2.65;0.09,1.13,9.75;3.78,-13.20
118.81109687,31.89294061,9.10;0.49,267.23,-0.02;-0.12,-3.36,0.02;0.25,0.18,-2.65;0.09,1.13,9.75;4.07,6.20
118.81109687,31.89294061,9.10;0.49,267.23,-0.02;-0.12,-3.36,0.02;0.25,0.18,-2.65;0.09,1.13,9.75;4.09,6.40
118.81109687,31.89294061,9.10;0.49,267.23,-0.02;-0.12,-3.36,0.02;0.41,0.30,-1.28;0.10,1.04,9.74;4.11,6.30
118.81106709,31.89294015,9.16;0.44,267.95,0.06;-0.10,-4.12,0.06;-0.70,-0.40,0.72;-0.04,0.97,9.86;4.13,6.00
118.81106709,31.89294015,9.16;0.44,267.95,0.06;-0.10,-4.12,0.06;-0.70,-0.40,0.72;-0.04,0.97,9.86;4.16,5.40
118.81106709,31.89294015,9.16;0.44,267.95,0.06;-0.10,-4.12,0.06;-0.70,-0.40,0.72;-0.04,0.97,9.86;4.16,5.20
118.81106709,31.89294015,9.16;0.44,267.95,0.06;-0.10,-4.12,0.06;-0.70,-0.40,0.72;-0.04,0.97,9.86;4.18,4.70
118.81106709,31.89294015,9.16;0.44,267.95,0.06;-0.10,-4.12,0.06;-0.70,-0.40,0.72;-0.04,0.97,9.86;4.19,5.90
118.81106709,31.89294015,9.16;0.44,267.95,0.06;-0.10,-4.12,0.06;-0.70,-0.40,0.72;-0.04,0.97,9.86;4.44,6.00
118.81106709,31.89294015,9.16;0.44,267.95,0.06;-0.10,-4.12,0.06;-0.70,-0.40,0.72;-0.04,0.97,9.86;4.44,6.10
118.81106709,31.89294015,9.16;0.44,267.95,0.06;-0.10,-4.12,0.06;-0.70,-0.40,0.72;-0.04,0.97,9.86;4.48,6.30
118.81106709,31.89294015,9.16;0.44,267.95,0.06;-0.10,-4.12,0.06;-0.70,-0.40,0.72;-0.04,0.97,9.86;4.48,6.50
118.81106709,31.89294015,9.16;0.44,267.95,0.06;-0.10,-4.12,0.06;-0.70,-0.40,0.72;-0.04,0.97,9.86;4.54,6.60
118.81106709,31.89294015,9.16;0.44,267.95,0.06;-0.10,-4.12,0.06;-0.70,-0.40,0.72;-0.04,0.97,9.86;4.54,6.80
118.81106709,31.89294015,9.16;0.44,267.95,0.06;-0.10,-4.12,0.06;-0.70,-0.40,0.72;-0.04,0.97,9.86;4.75,11.30
118.81106709,31.89294015,9.16;0.44,267.95,0.06;-0.10,-4.12,0.06;-0.70,-0.40,0.72;-0.04,0.97,9.86;4.75,11.60
118.81106709,31.89294015,9.16;0.44,267.95,0.06;-0.10,-4.12,0.06;0.21,0.30,1.49;0.00,0.89,9.59;4.76,12.10
118.81106709,31.89294015,9.16;0.44,267.95,0.06;-0.10,-4.12,0.06;0.18,1.04,1.51;-0.18,0.92,10.07;4.79,12.60
