  longitude ,  latitude ,high;roll,yaw,pitch;n_vel,e_vel,u_vel;angleSpeedx_y_z;lineAccx_y_z;speed,steeringAngle
118.81099865,31.89294142,8.92;0.89,266.65,-0.34;-0.17,-2.90,0.05;-0.59,0.32,0.53;-0.07,1.04,9.84;3.07,6.20
118.81099865,31.89294142,8.92;0.89,266.65,-0.34;-0.17,-2.90,0.05;-0.59,0.32,0.53;-0.07,1.04,9.84;3.09,6.20
118.81099865,31.89294142,8.92;0.89,266.65,-0.34;-0.17,-2.90,0.05;-0.59,0.32,0.53;-0.07,1.04,9.84;3.11,6.20
118.81099865,31.89294142,8.92;0.89,266.65,-0.34;-0.17,-2.90,0.05;-0.59,0.32,0.53;-0.07,1.04,9.84;3.12,6.20
118.81099865,31.89294142,8.92;0.89,266.65,-0.34;-0.17,-2.90,0.05;-0.59,0.32,0.53;-0.07,1.04,9.84;3.14,6.20
118.81099865,31.89294142,8.92;0.89,266.65,-0.34;-0.17,-2.90,0.05;-0.59,0.32,0.53;-0.07,1.04,9.84;3.14,6.10
118.81099865,31.89294142,8.92;0.89,266.65,-0.34;-0.17,-2.90,0.05;-0.59,0.32,0.53;-0.07,1.04,9.84;3.41,6.10
118.81099865,31.89294142,8.92;0.89,266.65,-0.34;-0.17,-2.90,0.05;-0.59,0.32,0.53;-0.07,1.04,9.84;3.41,6.10
118.81099865,31.89294142,8.92;0.89,266.65,-0.34;-0.17,-2.90,0.05;-0.59,0.32,0.53;-0.07,1.04,9.84;3.43,6.00
118.81099865,31.89294142,8.92;0.89,266.65,-0.34;-0.17,-2.90,0.05;-0.59,0.32,0.53;-0.07,1.04,9.84;3.45,6.00
118.81099865,31.89294142,8.92;0.89,266.65,-0.34;-0.17,-2.90,0.05;-0.59,0.32,0.53;-0.07,1.04,9.84;3.47,5.90
118.81097276,31.89294028,8.94;0.91,266.36,-0.13;-0.21,-3.62,0.05;-0.59,0.32,0.53;-0.07,1.04,9.84;3.50,5.70
118.81097276,31.89294028,8.94;0.91,266.36,-0.13;-0.21,-3.62,0.05;-0.59,0.32,0.53;-0.07,1.04,9.84;3.76,5.70
118.81097276,31.89294028,8.94;0.91,266.36,-0.13;-0.21,-3.62,0.05;-0.59,0.32,0.53;-0.07,1.04,9.84;3.76,4.50
118.81097276,31.89294028,8.94;0.91,266.36,-0.13;-0.21,-3.62,0.05;0.51,-0.15,0.45;-0.03,1.02,9.53;3.78,4.50
118.81097276,31.89294028,8.94;0.91,266.36,-0.13;-0.21,-3.62,0.05;0.51,-0.15,0.45;-0.03,1.02,9.53;3.79,4.50
118.81097276,31.89294028,8.94;0.91,266.36,-0.13;-0.21,-3.62,0.05;0.51,-0.15,0.45;-0.03,1.02,9.53;3.81,4.60
118.81097276,31.89294028,8.94;0.91,266.36,-0.13;-0.21,-3.62,0.05;0.51,-0.15,0.45;-0.03,1.02,9.53;3.84,4.60
118.81097276,31.89294028,8.94;0.91,266.36,-0.13;-0.21,-3.62,0.05;0.51,-0.15,0.45;-0.03,1.02,9.53;3.86,4.70
118.81097276,31.89294028,8.94;0.91,266.36,-0.13;-0.21,-3.62,0.05;0.51,-0.15,0.45;-0.03,1.02,9.53;3.88,4.70
118.81097276,31.89294028,8.94;0.91,266.36,-0.13;-0.21,-3.62,0.05;0.51,-0.15,0.45;-0.03,1.02,9.53;3.88,4.20
118.81097276,31.89294028,8.94;0.91,266.36,-0.13;-0.21,-3.62,0.05;0.51,-0.15,0.45;-0.03,1.02,9.53;4.13,4.20
118.81097276,31.89294028,8.94;0.91,266.36,-0.13;-0.21,-3.62,0.05;0.51,-0.15,0.45;-0.03,1.02,9.53;4.15,4.20
118.81097276,31.89294028,8.94;0.91,266.36,-0.13;-0.21,-3.62,0.05;0.51,-0.15,0.45;-0.03,1.02,9.53;4.17,4.20
118.81097276,31.89294028,8.94;0.91,266.36,-0.13;-0.21,-3.62,0.05;0.51,-0.15,0.45;-0.03,1.02,9.53;4.18,4.20
118.81097276,31.89294028,8.94;0.91,266.36,-0.13;-0.21,-3.62,0.05;0.51,-0.15,0.45;-0.03,1.02,9.53;4.20,4.20
118.81094355,31.89293871,8.98;0.89,266.11,-0.26;-0.28,-4.28,0.04;0.51,-0.15,0.45;-0.03,1.02,9.53;4.23,4.20
118.81094355,31.89293871,8.98;0.89,266.11,-0.26;-0.28,-4.28,0.04;0.51,-0.15,0.45;-0.03,1.02,9.53;4.48,4.20
118.81094355,31.89293871,8.98;0.89,266.11,-0.26;-0.28,-4.28,0.04;-0.48,-0.16,0.45;-0.01,1.11,10.13;4.48,4.20
118.81094355,31.89293871,8.98;0.89,266.11,-0.26;-0.28,-4.28,0.04;-1.52,0.25,0.36;-0.00,0.98,9.72;4.48,4.20
118.81094355,31.89293871,8.98;0.89,266.11,-0.26;-0.28,-4.28,0.04;-1.52,0.25,0.36;-0.00,0.98,9.72;4.50,4.20
118.81094355,31.89293871,8.98;0.89,266.11,-0.26;-0.28,-4.28,0.04;-1.52,0.25,0.36;-0.00,0.98,9.72;4.51,4.20
118.81094355,31.89293871,8.98;0.89,266.11,-0.26;-0.28,-4.28,0.04;-1.52,0.25,0.36;-0.00,0.98,9.72;4.53,4.20
118.81094355,31.89293871,8.98;0.89,266.11,-0.26;-0.28,-4.28,0.04;-1.52,0.25,0.36;-0.00,0.98,9.72;4.55,4.10
118.81094355,31.89293871,8.98;0.89,266.11,-0.26;-0.28,-4.28,0.04;-1.52,0.25,0.36;-0.00,0.98,9.72;4.81,4.10
118.81094355,31.89293871,8.98;0.89,266.11,-0.26;-0.28,-4.28,0.04;-1.52,0.25,0.36;-0.00,0.98,9.72;4.81,3.90
118.81094355,31.89293871,8.98;0.89,266.11,-0.26;-0.28,-4.28,0.04;-1.52,0.25,0.36;-0.00,0.98,9.72;4.83,3.90
118.81094355,31.89293871,8.98;0.89,266.11,-0.26;-0.28,-4.28,0.04;-1.52,0.25,0.36;-0.00,0.98,9.72;4.85,3.80
118.81094355,31.89293871,8.98;0.89,266.11,-0.26;-0.28,-4.28,0.04;-1.52,0.25,0.36;-0.00,0.98,9.72;4.87,3.70
118.81094355,31.89293871,8.98;0.89,266.11,-0.26;-0.28,-4.28,0.04;-1.52,0.25,0.36;-0.00,0.98,9.72;4.88,3.60
118.81090704,31.89293653,9.05;1.03,265.86,-0.32;-0.34,-4.92,0.06;-1.52,0.25,0.36;-0.00,0.98,9.72;4.90,3.50
118.81090704,31.89293653,9.05;1.03,265.86,-0.32;-0.34,-4.92,0.06;-1.52,0.25,0.36;-0.00,0.98,9.72;4.91,3.40
